Time,Lat,Lon,scPDSI
1012,49.75,15.5,-1.394
1012,50.25,15.5,-2.992
1012,50.75,15.5,-0.635
1012,49.25,16,-1.448
1012,49.75,16,-0.246
1012,50.25,16,-1.669
1012,50.75,16,0.569
1012,49.25,16.5,-0.912
1012,49.75,16.5,-2.54
1012,50.25,16.5,-1.103
1012,50.75,16.5,-0.758
1013,49.25,13.5,3.759
1013,49.75,13.5,4.414
1013,50.25,13.5,3.78
1013,50.75,13.5,1.521
1013,49.25,14,1.547
1013,49.75,14,2.372
1013,50.25,14,4.837
1013,50.75,14,2.863
1013,49.25,14.5,1.39
1013,49.75,14.5,1.896
1013,50.25,14.5,2.358
1013,50.75,14.5,3.298
1013,49.25,15,-0.324
1013,49.75,15,2.058
1013,50.25,15,2.099
1013,50.75,15,3.648
1013,49.25,15.5,0.649
1013,49.75,15.5,1.946
1013,50.25,15.5,1.225
1013,50.75,15.5,2.552
1013,49.25,16,0.413
1013,49.75,16,2.485
1013,50.25,16,2.779
1013,50.75,16,6.423
1013,49.25,16.5,1.558
1013,49.75,16.5,0.55
1013,50.25,16.5,0.079
1013,50.75,16.5,1.84
1014,49.25,13.5,1.199
1014,49.75,13.5,1.939
1014,50.25,13.5,0.372
1014,50.75,13.5,-2.754
1014,49.25,14,0.501
1014,49.75,14,-0.426
1014,50.25,14,2.564
1014,50.75,14,-2.173
1014,49.25,14.5,1.679
1014,49.75,14.5,-1.164
1014,50.25,14.5,-0.682
1014,50.75,14.5,1.435
1014,49.25,15,-1.284
1014,49.75,15,-0.087
1014,50.25,15,0.302
1014,50.75,15,-1.827
1014,49.25,15.5,-0.325
1014,49.75,15.5,0.391
1014,50.25,15.5,-0.239
1014,50.75,15.5,-0.625
1014,49.25,16,0.57
1014,49.75,16,2.697
1014,50.25,16,1.636
1014,50.75,16,0.986
1014,49.25,16.5,-1.666
1014,49.75,16.5,-0.575
1014,50.25,16.5,0.995
1014,50.75,16.5,0.113
1015,49.25,13.5,3.489
1015,49.75,13.5,3.982
1015,50.25,13.5,1.709
1015,50.75,13.5,-1.38
1015,49.25,14,1.163
1015,49.75,14,1.152
1015,50.25,14,3.303
1015,50.75,14,-1
1015,49.25,14.5,2.354
1015,49.75,14.5,-0.251
1015,50.25,14.5,0.921
1015,50.75,14.5,2.072
1015,49.25,15,-0.126
1015,49.75,15,0.257
1015,50.25,15,2.421
1015,50.75,15,0.449
1015,49.25,15.5,1.145
1015,49.75,15.5,1.066
1015,50.25,15.5,-0.3
1015,50.75,15.5,0.791
1015,49.25,16,1.128
1015,49.75,16,2.792
1015,50.25,16,1.446
1015,50.75,16,2.102
1015,49.25,16.5,-0.207
1015,49.75,16.5,-0.439
1015,50.25,16.5,0.741
1015,50.75,16.5,0.047
1016,49.25,13.5,0.98
1016,49.75,13.5,2.222
1016,50.25,13.5,0.44
1016,50.75,13.5,-0.644
1016,49.25,14,0.226
1016,49.75,14,1.322
1016,50.25,14,1.767
1016,50.75,14,-0.502
1016,49.25,14.5,2.507
1016,49.75,14.5,-0.817
1016,50.25,14.5,0.637
1016,50.75,14.5,3.312
1016,49.25,15,-1.899
1016,49.75,15,-0.958
1016,50.25,15,1.364
1016,50.75,15,0.645
1016,49.25,15.5,-0.058
1016,49.75,15.5,-0.46
1016,50.25,15.5,-0.678
1016,50.75,15.5,0.406
1016,49.25,16,0.006
