Time,Lat,Lon,scPDSI
1062,46.25,16,-0.672
1062,46.75,16,-0.009
1062,45.25,16.5,-0.762
1062,45.75,16.5,-0.639
1062,46.25,16.5,-0.415
1062,46.75,16.5,-0.663
1063,45.25,15.5,-1.212
1063,45.75,15.5,-0.624
1063,46.25,15.5,0.01
1063,46.75,15.5,-0.941
1063,45.25,16,-0.813
1063,45.75,16,-0.728
1063,46.25,16,-1.23
1063,46.75,16,-1.54
1063,45.25,16.5,0.197
1063,45.75,16.5,-3.359
1063,46.25,16.5,-0.631
1063,46.75,16.5,-0.13
1064,45.25,15.5,0.877
1064,45.75,15.5,0.314
1064,46.25,15.5,-1.289
1064,46.75,15.5,-0.107
1064,45.25,16,1.978
1064,45.75,16,-0.994
1064,46.25,16,-0.663
1064,46.75,16,-0.518
1064,45.25,16.5,1.493
1064,45.75,16.5,0.518
1064,46.25,16.5,0.593
1064,46.75,16.5,-0.609
1065,45.25,15.5,-2.153
1065,45.75,15.5,-2.08
1065,46.25,15.5,-1.805
1065,46.75,15.5,-2.255
1065,45.25,16,-2.559
1065,45.75,16,-1.935
1065,46.25,16,-0.767
1065,46.75,16,-0.938
1065,45.25,16.5,0.499
1065,45.75,16.5,-1.994
1065,46.25,16.5,0.247
1065,46.75,16.5,-1.565
1066,45.25,15.5,-0.956
1066,45.75,15.5,-0.805
1066,46.25,15.5,-0.347
1066,46.75,15.5,0.166
1066,45.25,16,-2.302
1066,45.75,16,0.403
1066,46.25,16,-0.44
1066,46.75,16,0.048
1066,45.25,16.5,0.01
1066,45.75,16.5,-2.009
1066,46.25,16.5,0.79
1066,46.75,16.5,0.19
1067,45.25,15.5,-3.927
1067,45.75,15.5,-2.198
1067,46.25,15.5,-1.927
1067,46.75,15.5,-0.979
1067,45.25,16,-4.127
1067,45.75,16,-0.224
1067,46.25,16,-1.9
1067,46.75,16,-2.655
1067,45.25,16.5,-5.271
1067,45.75,16.5,-4.512
1067,46.25,16.5,-3.386
1067,46.75,16.5,-2.921
1068,45.25,15.5,-2.69
1068,45.75,15.5,-1.19
1068,46.25,15.5,-0.873
1068,46.75,15.5,-0.549
1068,45.25,16,-1.995
1068,45.75,16,0.52
1068,46.25,16,-2.08
1068,46.75,16,-1.002
1068,45.25,16.5,-3.225
1068,45.75,16.5,-2.512
1068,46.25,16.5,-1.228
1068,46.75,16.5,-2.764
1069,45.25,15.5,2.065
1069,45.75,15.5,3.099
1069,46.25,15.5,2.94
1069,46.75,15.5,1.511
1069,45.25,16,1.908
1069,45.75,16,1.101
1069,46.25,16,0.231
1069,46.75,16,0.807
1069,45.25,16.5,2.121
1069,45.75,16.5,0.617
1069,46.25,16.5,2.068
